73256.700872236 [MEMLOG_E_S1_RUN]	diff = 0.000000885
73256.735972001 [MEMLOG_E_WCET_START]	diff = 0.035099765
73256.736857932 [MEMLOG_E_S1_DONE]	diff = 0.000885931
73256.736858557 [MEMLOG_E_S1_RUN]	diff = 0.000000625
73256.767966317 [MEMLOG_E_WCET_START]	diff = 0.031107760
73256.768872040 [MEMLOG_E_S1_DONE]	diff = 0.000905723
73256.768872353 [MEMLOG_E_S1_RUN]	diff = 0.000000313
73256.799939331 [MEMLOG_E_WCET_START]	diff = 0.031066978
73256.800901721 [MEMLOG_E_S1_DONE]	diff = 0.000962390
73256.800902346 [MEMLOG_E_S1_RUN]	diff = 0.000000625
73256.835964037 [MEMLOG_E_WCET_START]	diff = 0.035061691
73256.836909552 [MEMLOG_E_S1_DONE]	diff = 0.000945515
73256.836909968 [MEMLOG_E_S1_RUN]	diff = 0.000000416
73256.867967052 [MEMLOG_E_WCET_START]	diff = 0.031057084
73256.868870327 [MEMLOG_E_S1_DONE]	diff = 0.000903275
73256.868870900 [MEMLOG_E_S1_RUN]	diff = 0.000000573
73256.899955951 [MEMLOG_E_WCET_START]	diff = 0.031085051
73256.900893862 [MEMLOG_E_S1_DONE]	diff = 0.000937911
73256.900894591 [MEMLOG_E_S1_RUN]	diff = 0.000000729
73256.935989563 [MEMLOG_E_WCET_START]	diff = 0.035094972
73256.936939244 [MEMLOG_E_S1_DONE]	diff = 0.000949681
73256.936941797 [MEMLOG_E_S1_RUN]	diff = 0.000002553
73256.967954036 [MEMLOG_E_WCET_START]	diff = 0.031012239
73256.968882415 [MEMLOG_E_S1_DONE]	diff = 0.000928379
73256.968883040 [MEMLOG_E_S1_RUN]	diff = 0.000000625
73257.000119237 [MEMLOG_E_WCET_START]	diff = 0.031236197
73257.001018502 [MEMLOG_E_S1_DONE]	diff = 0.000899265
73257.001019179 [MEMLOG_E_S1_RUN]	diff = 0.000000677
73257.035935611 [MEMLOG_E_WCET_START]	diff = 0.034916432
73257.036865448 [MEMLOG_E_S1_DONE]	diff = 0.000929837
73257.036865865 [MEMLOG_E_S1_RUN]	diff = 0.000000417
73257.067966489 [MEMLOG_E_WCET_START]	diff = 0.031100624
73257.068876848 [MEMLOG_E_S1_DONE]	diff = 0.000910359
73257.068877264 [MEMLOG_E_S1_RUN]	diff = 0.000000416
73257.099999243 [MEMLOG_E_WCET_START]	diff = 0.031121979
73257.101069757 [MEMLOG_E_S1_DONE]	diff = 0.001070514
73257.101070486 [MEMLOG_E_S1_RUN]	diff = 0.000000729
73257.135943637 [MEMLOG_E_WCET_START]	diff = 0.034873151
73257.136890766 [MEMLOG_E_S1_DONE]	diff = 0.000947129
73257.136891183 [MEMLOG_E_S1_RUN]	diff = 0.000000417
73257.168005036 [MEMLOG_E_WCET_START]	diff = 0.031113853
73257.168918988 [MEMLOG_E_S1_DONE]	diff = 0.000913952
73257.168919353 [MEMLOG_E_S1_RUN]	diff = 0.000000365
