72185.934320757 MEMLOG_E_WCET_START           diff = 0.009998402
72185.934321799 MEMLOG_E_S1_DONE              diff = 0.000001042
72185.944320827 MEMLOG_E_WCET_START           diff = 0.009999028
72185.944321816 MEMLOG_E_S1_DONE              diff = 0.000000989
72185.954322771 MEMLOG_E_WCET_START           diff = 0.010000955
72185.954323761 MEMLOG_E_S1_DONE              diff = 0.000000990
72185.964321591 MEMLOG_E_WCET_START           diff = 0.009997830
72185.964322580 MEMLOG_E_S1_DONE              diff = 0.000000989
72185.974320983 MEMLOG_E_WCET_START           diff = 0.009998403
72185.974321972 MEMLOG_E_S1_DONE              diff = 0.000000989
72185.984320792 MEMLOG_E_WCET_START           diff = 0.009998820
72185.984321729 MEMLOG_E_S1_DONE              diff = 0.000000937
72185.994321174 MEMLOG_E_WCET_START           diff = 0.009999445
72185.994322163 MEMLOG_E_S1_DONE              diff = 0.000000989
72186.004321868 MEMLOG_E_WCET_START           diff = 0.009999705
72186.004322962 MEMLOG_E_S1_DONE              diff = 0.000001094
72186.014321260 MEMLOG_E_WCET_START           diff = 0.009998298
72186.014322302 MEMLOG_E_S1_DONE              diff = 0.000001042
72186.024321069 MEMLOG_E_WCET_START           diff = 0.009998767
72186.024322059 MEMLOG_E_S1_DONE              diff = 0.000000990
72186.034321503 MEMLOG_E_WCET_START           diff = 0.009999444
72186.034322493 MEMLOG_E_S1_DONE              diff = 0.000000990
72186.044321364 MEMLOG_E_WCET_START           diff = 0.009998871
72186.044322354 MEMLOG_E_S1_DONE              diff = 0.000000990
72186.054322944 MEMLOG_E_WCET_START           diff = 0.010000590
72186.054323934 MEMLOG_E_S1_DONE              diff = 0.000000990
72186.064321920 MEMLOG_E_WCET_START           diff = 0.009997986
72186.064322961 MEMLOG_E_S1_DONE              diff = 0.000001041
72186.074320791 MEMLOG_E_WCET_START           diff = 0.009997830
72186.074321781 MEMLOG_E_S1_DONE              diff = 0.000000990
72186.084320861 MEMLOG_E_WCET_START           diff = 0.009999080
72186.084321850 MEMLOG_E_S1_DONE              diff = 0.000000989
72186.094321190 MEMLOG_E_WCET_START           diff = 0.009999340
72186.094322180 MEMLOG_E_S1_DONE              diff = 0.000000990
72186.104321052 MEMLOG_E_WCET_START           diff = 0.009998872
72186.104322041 MEMLOG_E_S1_DONE              diff = 0.000000989
72186.114320392 MEMLOG_E_WCET_START           diff = 0.009998351
72186.114321329 MEMLOG_E_S1_DONE              diff = 0.000000937
72186.124320774 MEMLOG_E_WCET_START           diff = 0.009999445
72186.124321763 MEMLOG_E_S1_DONE              diff = 0.000000989
72186.134320947 MEMLOG_E_WCET_START           diff = 0.009999184
72186.134321885 MEMLOG_E_S1_DONE              diff = 0.000000938
72186.144320756 MEMLOG_E_WCET_START           diff = 0.009998871
72186.144321746 MEMLOG_E_S1_DONE              diff = 0.000000990
72186.154322284 MEMLOG_E_WCET_START           diff = 0.010000538
72186.154323273 MEMLOG_E_S1_DONE              diff = 0.000000989
72186.164321259 MEMLOG_E_WCET_START           diff = 0.009997986
72186.164322301 MEMLOG_E_S1_DONE              diff = 0.000001042
72186.174320756 MEMLOG_E_WCET_START           diff = 0.009998455
72186.174321693 MEMLOG_E_S1_DONE              diff = 0.000000937
72186.184321086 MEMLOG_E_WCET_START           diff = 0.009999393
72186.184322075 MEMLOG_E_S1_DONE              diff = 0.000000989
72186.194320947 MEMLOG_E_WCET_START           diff = 0.009998872
72186.194321936 MEMLOG_E_S1_DONE              diff = 0.000000989
72186.204320704 MEMLOG_E_WCET_START           diff = 0.009998768
72186.204321693 MEMLOG_E_S1_DONE              diff = 0.000000989
72186.214321034 MEMLOG_E_WCET_START           diff = 0.009999341
72186.214322023 MEMLOG_E_S1_DONE              diff = 0.000000989
72186.224321051 MEMLOG_E_WCET_START           diff = 0.009999028
72186.224321988 MEMLOG_E_S1_DONE              diff = 0.000000937
