85011.719185389 MEMLOG_E_ADATA                diff = 0.008246192 data:0
85011.719205597 MEMLOG_E_S1_DONE              diff = 0.000020208
85011.719205753 MEMLOG_E_S1_RUN               diff = 0.000000156
85011.743135897 MEMLOG_E_WCET_START           diff = 0.023930144
85011.751422870 MEMLOG_E_ADATA                diff = 0.008286973 data:0
85011.751446516 MEMLOG_E_S1_DONE              diff = 0.000023646
85011.751446777 MEMLOG_E_S1_RUN               diff = 0.000000261
85011.778742105 MEMLOG_E_WCET_START           diff = 0.027295328
85011.787030016 MEMLOG_E_ADATA                diff = 0.008287911 data:0
85011.787059495 MEMLOG_E_S1_DONE              diff = 0.000029479
85011.787059912 MEMLOG_E_S1_RUN               diff = 0.000000417
85011.810949900 MEMLOG_E_WCET_START           diff = 0.023889988
85011.819210675 MEMLOG_E_ADATA                diff = 0.008260775 data:0
85011.819230467 MEMLOG_E_S1_DONE              diff = 0.000019792
85011.819230883 MEMLOG_E_S1_RUN               diff = 0.000000416
85011.843119205 MEMLOG_E_WCET_START           diff = 0.023888322
85011.851431438 MEMLOG_E_ADATA                diff = 0.008312233 data:0
85011.851453053 MEMLOG_E_S1_DONE              diff = 0.000021615
85011.851453365 MEMLOG_E_S1_RUN               diff = 0.000000312
85011.878737184 MEMLOG_E_WCET_START           diff = 0.027283819
85011.887039365 MEMLOG_E_ADATA                diff = 0.008302181 data:0
85011.887063531 MEMLOG_E_S1_DONE              diff = 0.000024166
85011.887063740 MEMLOG_E_S1_RUN               diff = 0.000000209
85011.911034613 MEMLOG_E_WCET_START           diff = 0.023970873
85011.929061986 MEMLOG_E_ADATA                diff = 0.018027373 data:0
85011.929096309 MEMLOG_E_S1_DONE              diff = 0.000034323
85011.929096778 MEMLOG_E_S1_RUN               diff = 0.000000469
85011.943245272 MEMLOG_E_WCET_START           diff = 0.014148494
85011.962426231 MEMLOG_E_ADATA                diff = 0.019180959 data:0
85011.962458626 MEMLOG_E_S1_DONE              diff = 0.000032395
85011.962459147 MEMLOG_E_S1_RUN               diff = 0.000000521
85011.978777105 MEMLOG_E_WCET_START           diff = 0.016317958
85011.997921658 MEMLOG_E_ADATA                diff = 0.019144553 data:0
85011.997952544 MEMLOG_E_S1_DONE              diff = 0.000030886
85011.997953064 MEMLOG_E_S1_RUN               diff = 0.000000520
